Date,GLD,SPY,TLT
2007-01-03,62.28,106.93031,57.971245
2007-01-04,61.65,107.157234,58.322742
2007-01-05,60.17,106.30251,58.075394
2007-01-08,60.48,106.794174,58.173035
2007-01-09,60.85,106.70341,58.173035
2007-01-10,60.59,107.0589,57.912663
2007-01-11,60.63,107.52787,57.57418
2007-01-12,62.17,108.344765,57.307304
2007-01-16,61.97,108.13298,57.43098
2007-01-17,62.64,108.17836,57.25523
2007-01-18,62.26,107.815285,57.43098
2007-01-19,63.0,108.027084,57.274757
2007-01-22,62.72,107.694275,57.41145
2007-01-23,64.23,108.011955,57.033916
2007-01-24,64.33,108.8818,57.02741
2007-01-25,64.06,107.6035,56.61733
2007-01-26,64.17,107.50518,56.571762
2007-01-29,63.77,107.444664,56.448086
2007-01-30,64.22,108.00439,56.513176
2007-01-31,64.83,108.73052,56.988354
2007-02-01,65.22,109.38101,56.91991
2007-02-02,64.28,109.53229,56.991806
2007-02-05,64.31,109.562546,57.070236
2007-02-06,64.79,109.5928,57.383957
2007-02-07,64.63,109.83485,57.553883
2007-02-08,65.52,109.69113,57.599632
2007-02-09,66.12,108.87424,57.272842
2007-02-12,65.67,108.5036,57.14213
2007-02-13,65.84,109.41883,57.01795
2007-02-14,66.37,110.1374,57.560417
2007-02-15,66.41,110.28111,57.73035
2007-02-16,66.36,110.22816,57.932957
2007-02-20,65.31,110.46264,58.06367
2007-02-21,67.35,110.41726,57.965637
2007-02-22,67.15,110.33405,57.65192
2007-02-23,67.72,109.90292,58.06367
2007-02-26,68.1,109.80459,58.449284
2007-02-27,65.41,105.51588,59.18782
2007-02-28,66.48,106.5975,58.919857
2007-03-01,65.82,106.27982,58.882458
2007-03-02,63.71,104.88808,59.17769
2007-03-05,62.93,103.88965,59.2761
2007-03-06,64.15,105.66715,59.098965
2007-03-07,64.3,105.56126,59.328587
2007-03-08,64.48,106.453804,59.2761
2007-03-09,64.25,106.484055,58.652836
2007-03-12,64.37,106.6429,58.882458
2007-03-13,63.72,104.5704,59.236736
2007-03-14,63.94,105.34947,58.967747
2007-03-15,63.98,105.49319,58.96119
2007-03-16,64.62,105.19799,58.948063
2007-03-19,64.74,106.46616,58.823414
2007-03-20,65.27,107.050896,58.856216
2007-03-21,65.82,108.81267,58.882458
2007-03-22,65.76,108.72914,58.41665
2007-03-23,65.15,108.88862,58.25263
2007-03-26,65.84,108.74433,58.3248
2007-03-27,65.7,108.48614,58.226387
2007-03-28,66.05,107.69638,58.10829
2007-03-29,65.65,107.81029,58.029564
2007-03-30,65.74,107.83307,57.918034
2007-04-02,65.85,107.954575,58.0142
2007-04-03,65.83,109.11643,57.94176
2007-04-04,66.81,109.23794,58.00103
2007-04-05,66.86,109.534096,57.783722
2007-04-09,66.53,109.685974,57.401787
2007-04-10,67.16,109.81507,57.573
2007-04-11,67.08,109.367035,57.533493
2007-04-12,66.99,109.85304,57.54666
2007-04-13,67.84,110.35424,57.368866
2007-04-16,68.4,111.40218,57.684944
2007-04-17,68.0,111.69835,58.00761
2007-04-18,68.38,111.835045,58.297356
2007-04-19,67.53,111.804665,58.198578
2007-04-20,68.7,112.86021,58.047123
2007-04-23,68.26,112.43495,58.257847
2007-04-24,67.73,112.480515,58.47515
2007-04-25,67.89,113.51328,58.27101
2007-04-26,66.87,113.64238,57.84957
2007-04-27,67.56,113.551254,57.836403
2007-04-30,67.09,112.60961,58.442226
2007-05-01,66.69,112.89818,58.48453
2007-05-02,66.66,113.558846,58.45149
2007-05-03,67.49,114.17396,58.3193
2007-05-04,68.19,114.606804,58.55723
2007-05-07,68.25,114.629585,58.71585
2007-05-08,67.88,114.47771,58.58367
2007-05-09,67.45,114.78906,58.352352
2007-05-10,66.0,113.589226,58.491142
2007-05-11,66.45,114.56124,58.28626
2007-05-14,66.28,114.310646,58.134247
2007-05-15,66.54,114.34103,58.11442
2007-05-16,65.6,115.12319,58.074768
2007-05-17,65.06,114.89538,57.836838
2007-05-18,65.52,115.89776,57.453503
2007-05-21,65.67,115.890175,57.625343
2007-05-22,65.2,115.74589,57.327927
2007-05-23,65.54,115.76108,57.162697
2007-05-24,64.75,114.71312,57.215572
2007-05-25,64.94,115.191536,57.083393
2007-05-29,65.07,115.6092,57.076782
2007-05-30,64.72,116.550835,57.195747
2007-05-31,65.54,116.429344,57.089996
2007-06-01,66.44,117.00647,56.790092
2007-06-04,66.54,117.02166,57.048866
2007-06-05,66.37,116.55843,56.690567
2007-06-06,66.41,115.30544,56.66403
2007-06-07,65.26,113.224724,55.648853
2007-06-08,64.22,114.69793,55.602406
2007-06-11,64.7,114.89538,55.44316
2007-06-12,64.1,113.64238,54.64031
2007-06-13,64.53,115.343414,55.290554
2007-06-14,64.6,116.08002,55.15122
2007-06-15,64.85,116.74018,55.52942
2007-06-18,64.95,116.6029,55.41662
2007-06-19,65.48,116.892715,55.934162
2007-06-20,64.71,115.26825,55.482975
2007-06-21,64.56,115.908875,55.217567
2007-06-22,64.78,114.81828,55.575867
2007-06-25,64.43,114.269165,55.88108
2007-06-26,63.62,113.094666,55.89435
2007-06-27,63.67,114.70387,55.94743
2007-06-28,64.26,114.68863,55.934162
2007-06-29,64.27,114.72675,56.511417
2007-07-02,65.02,115.76397,56.80848
2007-07-03,64.74,116.18343,56.462124
2007-07-05,64.42,116.06141,55.829365
2007-07-06,64.96,116.67154,55.60291
2007-07-09,65.38,116.76306,55.802723
2007-07-10,65.61,115.100464,56.74853
2007-07-11,65.44,115.91651,56.1624
2007-07-12,66.02,117.74689,55.96924
2007-07-13,66.03,118.09772,56.122437
2007-07-16,65.82,118.08246,56.661945
2007-07-17,65.75,118.02145,56.542053
2007-07-18,66.62,117.8079,56.75519
2007-07-19,67.01,118.2655,56.741875
2007-07-20,67.58,117.06812,57.25474
2007-07-23,67.47,117.426575,57.16149
2007-07-24,67.47,115.390274,57.37463
2007-07-25,66.9,115.62669,57.48786
2007-07-26,65.65,112.888756,57.967426
2007-07-27,65.41,110.66942,58.13394
2007-07-30,65.77,112.40066,57.967426
2007-07-31,65.79,111.134636,58.38705
2007-08-01,65.93,111.67612,58.26067
2007-08-02,65.89,112.56844,58.407776
2007-08-03,66.69,109.670334,58.795605
2007-08-06,66.52,111.50835,58.367657
2007-08-07,66.48,112.69809,58.32085
2007-08-08,66.77,114.269165,57.612072
2007-08-09,65.46,110.88296,57.692307
2007-08-10,66.57,110.36436,57.558575
2007-08-13,66.26,110.76093,57.725742
2007-08-14,66.29,109.067825,57.87953
2007-08-15,66.13,107.56539,57.67225
2007-08-16,64.68,108.37382,58.267357
2007-08-17,65.01,110.36436,58.033325
2007-08-20,65.12,110.31097,58.066757
2007-08-21,65.07,110.53213,58.3476
2007-08-22,65.4,111.8439,58.253986
2007-08-23,65.31,111.74477,58.454582
2007-08-24,66.11,113.125175,58.742107
2007-08-27,65.98,112.07271,59.049694
2007-08-28,65.59,109.60932,59.149994
2007-08-29,66.07,111.76001,58.989517
2007-08-30,65.8,111.46258,59.384026
2007-08-31,66.52,112.56081,59.430832
2007-09-04,67.44,113.697174,59.45903
2007-09-05,67.56,112.71333,59.935722
2007-09-06,68.86,112.97265,59.781303
2007-09-07,69.39,111.40157,60.627266
2007-09-10,69.62,111.18802,61.097244
2007-09-11,70.52,112.48455,61.050247
2007-09-12,70.46,112.77435,60.821968
2007-09-13,70.08,113.56752,60.278137
2007-09-14,69.99,113.55988,60.36542
2007-09-17,70.97,112.94977,60.654118
2007-09-18,71.7,116.27496,60.19757
2007-09-19,71.43,116.96135,59.640312
2007-09-20,72.72,116.13768,58.51236
2007-09-21,72.34,116.45087,59.009193
2007-09-24,72.28,116.23631,59.177044
2007-09-25,72.33,116.006424,58.968914
2007-09-26,72.0,116.619446,59.022625
2007-09-27,72.7,117.30909,59.432175
2007-09-28,73.51,116.9183,59.566456
2007-10-01,73.9,118.23629,59.90683
2007-10-02,72.35,118.07536,60.095562
2007-10-03,71.9,117.83782,59.920315
2007-10-04,72.87,118.02173,60.14948
2007-10-05,73.4,119.42402,59.502422
2007-10-08,72.53,118.78801,59.45524
2007-10-09,73.09,119.90676,59.381096
2007-10-10,73.36,119.707535,59.4148
2007-10-11,73.91,119.13283,59.354137
2007-10-12,74.59,119.791824,59.06431
2007-10-15,75.14,118.780334,59.07779
2007-10-16,75.12,117.83782,59.09801
2007-10-17,74.5,118.197975,59.745068
2007-10-18,76.0,117.76886,60.075336
2007-10-19,75.7,114.68843,60.971783
2007-10-22,74.6,115.35509,60.978523
2007-10-23,75.23,116.28994,60.89764
2007-10-24,75.52,116.075386,61.34923
2007-10-25,76.03,116.35124,61.14029
2007-10-26,77.69,117.71522,60.998745
2007-10-29,78.12,118.106026,61.23465
2007-10-30,77.35,117.2861,61.20095
2007-10-31,78.62,118.50448,60.64826
2007-11-01,77.93,115.73057,61.436268
2007-11-02,79.83,115.86083,61.63259
2007-11-05,79.75,114.979614,61.60551
2007-11-06,81.43,116.5275,61.307636
2007-11-07,82.24,113.33979,61.409187
2007-11-08,82.23,112.76508,61.307636
